,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
7,Landau,Isar,2021-07-08 10:00:00,159,-3,312,0,---,
8,Plattling,Isar,2021-07-08 10:00:00,251,-2,292,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 10:00:00,107,0,107,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 10:00:00,179,-1,394,0,---,
11,Schlehdorf,Loisach,2021-07-08 10:00:00,132,-1,359,0,---,
12,Kochel,Loisach,2021-07-08 10:00:00,122,0,682,0,---,
13,Beuerberg,Loisach,2021-07-08 10:00:00,348,-2,683,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 10:00:00,63,0,681,0,---,
15,Stegen,Ammersee,2021-07-08 10:00:00,53324,0,---,0,---,
16,Stegen,Amper,2021-07-08 10:00:00,150,-1,361,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 10:00:00,103,-1,388,0,---,
18,Ampermoching,Amper,2021-07-08 10:00:00,232,0,564,0,---,
19,Inkofen,Amper,2021-07-08 10:00:00,137,-1,675,0,---,
20,Oberammergau,Ammer,2021-07-08 10:00:00,56,0,550,0,---,
21,Peißenberg,Ammer,2021-07-08 10:00:00,77,-1,110,0,---,
22,Weilheim,Ammer,2021-07-08 10:00:00,71,-1,197,0,---,
23,Raisting,Rott,2021-07-08 10:00:00,48,0,078,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 10:00:00,62508,1,---,0,---,
25,Leutstetten,Würm,2021-07-08 10:00:00,150,1,701,0,---,
26,Hohenkammer,Glonn,2021-07-08 10:00:00,48,0,326,0,---,
27,Berg,Sempt,2021-07-08 10:00:00,68,0,394,0,---,
